Tiempo,Resistencia,Temperatura
29,1860,68.76
59,2012,66.49
89,3014,55.18
119,26243,4.20
149,28003,2.88
179,27443,3.29
209,20769,9.06
239,18450,11.57
269,17234,13.03
299,16389,14.11
329,15659,15.10
359,15091,15.91
389,15029,16.00
419,14786,16.36
449,14607,16.63
479,14430,16.89
509,14256,17.16
539,14256,17.16
569,14028,17.52
599,13915,17.70
629,13859,17.79
659,13915,17.70
689,13475,18.41
719,13639,18.14
749,13530,18.32
779,13475,18.41
809,13209,18.85
839,13209,18.85
870,13209,18.85
900,13209,18.85
930,13000,19.21
960,13156,18.94
990,13104,19.03
1020,13052,19.12
1050,13000,19.21
1080,12948,19.30
1110,12897,19.39
1140,13000,19.21
1170,12948,19.30
1200,12948,19.30
1230,12845,19.48
1260,13368,18.59
1290,12845,19.48
1320,12948,19.30
1350,12794,19.57
1380,12845,19.48
1410,12744,19.65
1440,11961,21.08
1470,12845,19.48
1500,12897,19.39
1530,12845,19.48
1560,12845,19.48
1590,12845,19.48
1620,12845,19.48
1650,12794,19.57
1680,12744,19.65
1711,12794,19.57
1741,12794,19.57
1771,12593,19.92
1801,12693,19.74
1831,12693,19.74
1861,12693,19.74
1891,12744,19.65
1921,12693,19.74
1951,12744,19.65
1981,12744,19.65
2011,12744,19.65
2041,12744,19.65
2071,12744,19.65
2101,12693,19.74
2131,12693,19.74
2161,12744,19.65
2191,12643,19.83
2221,12444,20.19
2251,12543,20.01
2281,12693,19.74
2311,12643,19.83
2341,12744,19.65
2371,12643,19.83
2401,12643,19.83
2431,12693,19.74
2461,12744,19.65
2491,12744,19.65
2522,12744,19.65
