Tiempo,Resistencia,Temperatura
0,26900,3.70
30,27170,3.49
60,26767,3.80
90,27035,3.59
120,27170,3.49
150,26373,4.10
180,26900,3.70
210,27035,3.59
240,26767,3.80
270,26503,4.00
300,26243,4.20
330,26635,3.90
360,26635,3.90
390,26503,4.00
420,26503,4.00
450,26373,4.10
480,26373,4.10
510,26373,4.10
540,26373,4.10
570,26115,4.30
600,26373,4.10
630,26373,4.10
660,26115,4.30
690,26243,4.20
720,26115,4.30
750,26373,4.10
780,26243,4.20
810,25734,4.60
840,26115,4.30
870,26243,4.20
901,26503,4.00
931,26635,3.90
961,26243,4.20
991,26635,3.90
1021,26243,4.20
1051,26115,4.30
1081,25987,4.40
1111,26243,4.20
1141,26115,4.30
1171,25987,4.40
1201,25987,4.40
1231,26373,4.10
1261,26243,4.20
1291,25987,4.40
1321,26243,4.20
1351,25860,4.50
1381,25485,4.80
1411,25860,4.50
1441,25734,4.60
1471,25609,4.70
1501,25987,4.40
1531,27035,3.59
1561,25860,4.50
1591,25860,4.50
1621,26115,4.30
1651,25987,4.40
1681,25860,4.50
1711,25987,4.40
1741,25734,4.60
1772,25987,4.40
1802,25860,4.50
1832,25362,4.90
1862,25734,4.60
1892,25860,4.50
1922,26115,4.30
1952,25987,4.40
1982,25734,4.60
2012,25609,4.70
2042,25734,4.60
2072,25609,4.70
2102,26767,3.80
2132,25362,4.90
2162,25734,4.60
2192,26115,4.30
2222,25734,4.60
2252,25609,4.70
2282,25734,4.60
2312,25987,4.40
2342,25362,4.90
2372,25485,4.80
2402,25362,4.90
2432,25609,4.70
2462,25734,4.60
2492,25734,4.60
2522,25609,4.70
2552,25609,4.70
2582,25118,5.10
2613,25609,4.70
2643,25485,4.80
2673,25240,5.00
2703,25734,4.60
2733,25987,4.40
2763,25362,4.90
2793,25485,4.80
2823,25485,4.80
2853,25485,4.80
2883,25362,4.90
2913,25240,5.00
2943,25860,4.50
2973,25734,4.60
3003,25860,4.50
3033,25362,4.90
3063,26243,4.20
3093,25734,4.60
3123,25609,4.70
3153,25860,4.50
3183,26115,4.30
3213,25362,4.90
3243,25609,4.70
3273,25240,5.00
3303,25485,4.80
3333,25362,4.90
3363,25240,5.00
3393,25362,4.90
3423,25609,4.70
3453,25609,4.70
3484,25485,4.80
3514,24997,5.20
3544,25362,4.90
3574,25118,5.10
3604,24997,5.20
3634,24877,5.30
3664,24523,5.59
3694,24406,5.69
3724,24877,5.30
3754,24877,5.30
3784,25118,5.10
3814,25362,4.90
3844,25734,4.60
3874,25860,4.50
3904,25485,4.80
3934,25860,4.50
3964,25609,4.70
3994,25987,4.40
4024,25734,4.60
4054,25609,4.70
4084,25734,4.60
4114,25734,4.60
4144,26115,4.30
4174,25734,4.60
4204,25860,4.50
4234,25860,4.50
4264,26243,4.20
4294,25987,4.40
4325,25987,4.40
4355,25609,4.70
4385,25860,4.50
4415,26115,4.30
4445,26243,4.20
4475,26635,3.90
4505,25987,4.40
4535,26243,4.20
4565,25987,4.40
4595,25987,4.40
4625,26115,4.30
4655,25734,4.60
4685,26373,4.10
4715,25860,4.50
4745,25987,4.40
4775,26243,4.20
4805,24997,5.20
4835,26115,4.30
4865,26243,4.20
4895,25987,4.40
4925,25734,4.60
4955,25860,4.50
4985,25860,4.50
5015,26373,4.10
5045,26115,4.30
5075,25860,4.50
5105,26373,4.10
5135,25860,4.50
5166,25987,4.40
5196,25987,4.40
5226,26115,4.30
5256,26115,4.30
5286,25987,4.40
5316,25987,4.40
5346,26373,4.10
5376,25609,4.70
5406,26115,4.30
5436,25987,4.40
5466,25860,4.50
5496,26243,4.20
5526,26373,4.10
5556,25860,4.50
5586,26115,4.30
5616,25987,4.40
5646,26115,4.30
5676,25860,4.50
5706,25860,4.50
5736,26635,3.90
5766,27721,3.08
5796,26373,4.10
5826,25734,4.60
5856,25609,4.70
5886,26115,4.30
5916,25987,4.40
5946,25987,4.40
5976,26503,4.00
6006,25987,4.40
6037,26115,4.30
6067,25860,4.50
6097,25734,4.60
6127,25987,4.40
6157,25734,4.60
