Tiempo,Resistencia,Temperatura
0,10885,23.22
30,10757,23.49
60,11013,22.95
90,11774,21.43
120,12543,20.01
150,13262,18.76
180,14028,17.52
210,14847,16.27
240,15723,15.02
270,16321,14.20
300,17018,13.30
330,17753,12.39
360,18292,11.75
390,18852,11.11
420,18371,11.66
450,19867,9.99
480,20221,9.62
510,20584,9.24
540,20955,8.87
570,21433,8.39
600,21727,8.11
630,22127,7.73
660,22537,7.34
690,22747,7.15
720,24175,5.89
750,23173,6.77
780,23391,6.57
810,23722,6.28
840,23391,6.57
871,23947,6.08
901,24175,5.89
931,24290,5.79
961,24406,5.69
991,24640,5.50
1021,25362,4.90
1051,25118,5.10
1081,24877,5.30
1111,24997,5.20
1141,25240,5.00
1171,25118,5.10
1201,25362,4.90
1231,25362,4.90
1261,25485,4.80
1291,25485,4.80
1321,25734,4.60
1351,25734,4.60
1381,25860,4.50
1411,26767,3.80
1441,25987,4.40
1471,26115,4.30
1501,26115,4.30
1531,26243,4.20
1561,26373,4.10
1591,26635,3.90
1621,26373,4.10
1651,26503,4.00
1681,26900,3.70
1711,26767,3.80
1742,26767,3.80
1772,26900,3.70
1802,26900,3.70
1832,26900,3.70
1862,26767,3.80
1892,26900,3.70
1922,27035,3.59
1952,27170,3.49
1982,27170,3.49
2012,27306,3.39
2042,27306,3.39
2072,28003,2.88
2102,26900,3.70
2132,27443,3.29
2162,27582,3.19
2192,27443,3.29
2222,27306,3.39
2252,27443,3.29
2282,26767,3.80
2312,26635,3.90
2342,26243,4.20
2372,26373,4.10
2402,26115,4.30
2432,26115,4.30
2462,25987,4.40
2492,26115,4.30
2522,25860,4.50
2552,25987,4.40
2583,25987,4.40
2613,25987,4.40
2643,25860,4.50
2673,25987,4.40
2703,25860,4.50
2733,26115,4.30
2763,25987,4.40
2793,25860,4.50
2823,25987,4.40
2853,25860,4.50
2883,25860,4.50
