Tiempo,Resistencia,Temperatura
0,27582,3.19
30,26373,4.10
60,23722,6.28
90,21336,8.49
120,20769,9.06
150,20311,9.53
180,19693,10.18
210,19183,10.74
240,19017,10.92
270,18214,11.84
300,17829,12.30
330,17307,12.94
360,16875,13.48
390,16526,13.93
420,16052,14.56
450,15723,15.02
480,15277,15.64
510,15091,15.91
540,15091,15.91
570,14489,16.81
600,14314,17.07
630,14085,17.43
660,13915,17.70
690,13748,17.96
720,13639,18.14
750,13368,18.59
780,13209,18.85
810,13104,19.03
840,12948,19.30
870,12897,19.39
901,12845,19.48
931,12693,19.74
961,12543,20.01
991,12543,20.01
1021,12493,20.10
1051,12444,20.19
1081,12346,20.36
1111,12248,20.54
1141,12200,20.63
1171,12056,20.90
1201,12346,20.36
1231,12009,20.99
1261,11961,21.08
1291,11914,21.17
1321,11868,21.25
1351,11914,21.17
1381,11682,21.61
1411,11728,21.52
1441,11728,21.52
1471,11682,21.61
1501,11500,21.97
1531,11636,21.70
1561,11500,21.97
1591,11500,21.97
1621,11545,21.88
1651,11500,21.97
1681,11454,22.06
1711,11144,22.68
1742,11365,22.23
1772,11409,22.15
1802,11365,22.23
1832,11545,21.88
1862,11320,22.32
1892,11144,22.68
1922,11144,22.68
1952,11100,22.77
