Tiempo,Resistencia,Temperatura
29,9275,21.04
59,9912,19.66
89,10931,17.67
119,11779,16.19
149,12954,14.35
179,13978,12.92
209,14915,11.72
239,15798,10.68
269,16606,9.79
299,17319,9.05
329,17994,8.39
359,18544,7.87
389,19115,7.36
419,19623,6.92
449,20060,6.55
479,20420,6.25
509,20881,5.88
539,21165,5.66
569,21552,5.36
599,21650,5.29
629,21948,5.07
659,22252,4.84
689,22458,4.70
719,21948,5.07
749,22877,4.40
779,23091,4.25
809,23199,4.18
839,23308,4.10
869,23417,4.03
900,23750,3.80
930,23638,3.88
960,23862,3.73
990,23862,3.73
1020,23976,3.65
1050,24090,3.58
1080,24090,3.58
1110,24553,3.28
1140,24204,3.50
1170,24320,3.43
1200,24436,3.35
1230,24436,3.35
1260,24553,3.28
1290,23976,3.65
1320,24553,3.28
1350,24553,3.28
1380,24671,3.20
1410,24789,3.13
1440,24553,3.28
1470,24553,3.28
1500,24671,3.20
1530,24671,3.20
1560,24671,3.20
1590,24789,3.13
1620,24671,3.20
1650,25272,2.83
1680,24789,3.13
1710,25395,2.75
1741,24789,3.13
1771,24090,3.58
1801,24789,3.13
1831,24789,3.13
1861,24789,3.13
1891,24789,3.13
1921,24909,3.05
1951,24789,3.13
1981,24789,3.13
2011,25029,2.98
2041,24789,3.13
2071,24909,3.05
2101,24909,3.05
2131,24789,3.13
2161,24671,3.20
2191,24909,3.05
2221,24909,3.05
2251,24909,3.05
2281,24909,3.05
2311,24909,3.05
2341,25029,2.98
2371,24909,3.05
2401,24909,3.05
2431,24204,3.50
2461,24789,3.13
2491,24909,3.05
2521,24553,3.28
2551,24789,3.13
2582,24789,3.13
2612,24789,3.13
2642,25272,2.83
2672,24789,3.13
2702,24090,3.58
2732,22458,4.70
2762,21650,5.29
2792,20975,5.81
2822,20329,6.32
2852,19623,6.92
2882,18949,7.51
2912,18384,8.02
2942,17918,8.46
2972,17392,8.98
3002,16886,9.50
3032,16467,9.94
3062,16061,10.38
3092,15668,10.83
3122,15349,11.20
3152,15037,11.57
3182,14794,11.87
3212,14496,12.24
3242,14263,12.54
3272,14035,12.84
3302,13755,13.22
3332,13536,13.52
3362,13268,13.90
3392,13057,14.20
3423,12902,14.43
3453,12699,14.73
3483,12548,14.96
3513,12351,15.26
3543,12253,15.42
3573,12109,15.65
3603,11966,15.88
3633,11826,16.11
3663,11779,16.19
3693,11641,16.42
3723,11549,16.58
3753,11504,16.65
3783,11369,16.89
3813,11236,17.12
3843,11192,17.20
3873,11236,17.12
3903,11061,17.43
3933,10974,17.59
3963,10931,17.67
3993,10846,17.83
4023,10804,17.90
4053,10761,17.98
4083,10677,18.14
4113,10636,18.22
4143,10594,18.30
4173,10553,18.38
4203,10511,18.46
4234,10470,18.54
4264,10430,18.62
4294,10389,18.70
4324,10348,18.78
4354,10308,18.86
4384,10308,18.86
4414,10268,18.93
4444,10227,19.02
4474,10227,19.02
4504,10188,19.09
4534,10188,19.09
4564,10148,19.18
4594,10108,19.26
4624,10108,19.26
4654,10069,19.34
4684,10029,19.42
4714,10029,19.42
4744,9990,19.50
4774,10029,19.42
4804,10029,19.42
4834,9951,19.58
4864,9951,19.58
4894,9951,19.58
4924,9912,19.66
4954,9912,19.66
4984,9951,19.58
5014,9874,19.74
5044,9874,19.74
5075,9835,19.82
5105,9835,19.82
5135,9835,19.82
5165,9835,19.82
5195,9835,19.82
5225,9797,19.90
5255,9797,19.90
5285,9797,19.90
5315,9759,19.98
5345,9759,19.98
5375,9759,19.98
5405,9721,20.06
5435,9721,20.06
5465,9721,20.06
5495,9721,20.06
5525,9721,20.06
5555,9721,20.06
5585,9721,20.06
5615,9721,20.06
5645,9721,20.06
5675,9721,20.06
5705,9759,19.98
5735,9683,20.14
5765,9683,20.14
5795,9683,20.14
5825,9683,20.14
5855,9683,20.14
5885,9683,20.14
5916,9683,20.14
5946,9683,20.14
5976,9683,20.14
6006,9683,20.14
6036,9683,20.14
6066,9721,20.06
6096,9683,20.14
6126,9683,20.14
6156,9721,20.06
6186,9645,20.22
6216,9645,20.22
6246,9645,20.22
6276,9645,20.22
6306,9721,20.06
6336,9607,20.31
6366,9645,20.22
6396,9645,20.22
6426,9645,20.22
6456,9645,20.22
