Tiempo,Resistencia,Temperatura
29,10931,17.67
59,11324,16.96
89,11733,16.26
119,12157,15.57
149,12548,14.96
179,12851,14.50
209,13162,14.05
239,13536,13.52
269,13810,13.14
299,14148,12.69
329,14263,12.54
359,14438,12.32
389,14555,12.17
419,14734,11.94
449,14734,11.94
479,14976,11.65
509,14794,11.87
539,15161,11.42
569,14915,11.72
599,15349,11.20
629,15349,11.20
659,15286,11.27
689,15349,11.20
719,15349,11.20
749,15668,10.83
779,15732,10.75
809,15732,10.75
839,15349,11.20
870,14915,11.72
900,14794,11.87
930,14674,12.02
960,14674,12.02
990,14794,11.87
1020,14734,11.94
1050,14794,11.87
1080,14734,11.94
1110,14734,11.94
1140,14854,11.80
1170,14915,11.72
1200,14915,11.72
1230,15223,11.35
1260,14976,11.65
1290,14263,12.54
1320,15223,11.35
1350,15161,11.42
1380,15349,11.20
1410,15286,11.27
1440,15161,11.42
1470,15349,11.20
1500,15349,11.20
1530,15412,11.12
1560,15539,10.98
1590,15603,10.90
1620,15603,10.90
1650,15603,10.90
1681,15286,11.27
1711,15668,10.83
1741,15863,10.61
1771,15995,10.46
1801,16331,10.09
1831,16816,9.57
1861,17466,8.91
1891,17841,8.54
1921,17841,8.54
1951,17918,8.46
1981,18149,8.24
2011,18149,8.24
2041,18306,8.09
2071,18227,8.17
2101,18306,8.09
2131,18384,8.02
2161,18464,7.95
2191,18306,8.09
2221,18384,8.02
2251,18704,7.73
2281,18867,7.58
2311,18786,7.65
2341,18786,7.65
2371,18544,7.87
2401,18624,7.80
2431,18786,7.65
2461,18867,7.58
2491,18867,7.58
2522,18949,7.51
2552,18867,7.58
2582,19282,7.21
2612,19115,7.36
2642,19115,7.36
2672,19032,7.43
2702,19367,7.14
2732,19198,7.28
2762,19115,7.36
2792,19198,7.28
2822,19115,7.36
2852,19032,7.43
2882,19452,7.06
2912,19452,7.06
2942,19710,6.84
2972,19367,7.14
3002,19623,6.92
3032,19537,6.99
3062,19623,6.92
3092,20060,6.55
3122,19796,6.77
3152,19796,6.77
3182,19884,6.69
3212,19623,6.92
3242,19884,6.69
3272,20149,6.47
3302,20060,6.55
3332,20149,6.47
3363,20149,6.47
3393,20149,6.47
3423,20329,6.32
3453,20060,6.55
3483,20149,6.47
3513,19972,6.62
3543,19972,6.62
3573,19972,6.62
3603,20329,6.32
3633,20511,6.18
3663,20603,6.10
3693,20511,6.18
3723,20695,6.03
3753,20511,6.18
3783,20603,6.10
3813,20695,6.03
3843,20695,6.03
3873,20603,6.10
3903,20603,6.10
3933,20420,6.25
3963,20788,5.96
3993,20695,6.03
4023,20239,6.40
4053,20420,6.25
4083,20603,6.10
4113,20603,6.10
4143,20329,6.32
4173,20603,6.10
4204,20329,6.32
4234,20511,6.18
4264,20603,6.10
4294,20603,6.10
4324,20695,6.03
4354,20329,6.32
4384,20603,6.10
4414,20603,6.10
4444,20695,6.03
4474,20420,6.25
4504,20420,6.25
4534,20329,6.32
4564,20695,6.03
4594,20695,6.03
4624,20788,5.96
4654,21165,5.66
4684,20695,6.03
4714,21070,5.73
4744,21165,5.66
4774,21070,5.73
4804,21070,5.73
4834,20788,5.96
4864,21261,5.59
4894,21357,5.51
4924,21357,5.51
4954,21357,5.51
4984,21165,5.66
5014,21650,5.29
5044,21454,5.44
5075,21650,5.29
5105,21650,5.29
5135,21748,5.22
5165,21650,5.29
5195,22150,4.92
5225,22252,4.84
5255,22049,4.99
5285,21948,5.07
5315,21848,5.14
5345,22049,4.99
5375,22049,4.99
5405,22049,4.99
5435,22354,4.77
5465,22049,4.99
5495,22252,4.84
5525,22049,4.99
5555,22252,4.84
5585,22150,4.92
5615,21848,5.14
5645,22049,4.99
5675,22458,4.70
5705,22150,4.92
5735,22252,4.84
5765,22561,4.62
5795,22458,4.70
5825,22561,4.62
5855,22561,4.62
5885,22561,4.62
5916,22458,4.70
5946,22561,4.62
5976,22877,4.40
6006,22666,4.55
6036,22561,4.62
6066,23199,4.18
6096,22771,4.47
6126,22771,4.47
6156,22771,4.47
6186,20603,6.10
6216,22877,4.40
6246,22666,4.55
6276,23091,4.25
6306,22877,4.40
6336,23091,4.25
6366,22877,4.40
6396,22877,4.40
6426,23091,4.25
6456,22984,4.32
6486,23199,4.18
6516,23199,4.18
6546,23199,4.18
6576,22984,4.32
6606,23199,4.18
6636,23199,4.18
6666,23199,4.18
6696,23417,4.03
6726,23199,4.18
6757,23308,4.10
6787,23091,4.25
6817,23527,3.95
6847,23862,3.73
6877,23527,3.95
6907,23308,4.10
6937,24204,3.50
6967,23308,4.10
6997,23417,4.03
7027,23308,4.10
7057,23527,3.95
7087,23527,3.95
7117,23862,3.73
7147,23417,4.03
7177,23527,3.95
7207,23527,3.95
7237,23527,3.95
7267,23638,3.88
7297,23862,3.73
7327,24090,3.58
7357,23750,3.80
7387,23417,4.03
7417,23750,3.80
7447,23976,3.65
7477,23862,3.73
7507,23638,3.88
7537,23091,4.25
7567,22666,4.55
7597,22561,4.62
7628,22354,4.77
7658,21948,5.07
7688,21948,5.07
7718,22354,4.77
7748,21848,5.14
7778,22150,4.92
7808,21848,5.14
7838,21848,5.14
7868,21948,5.07
7898,21748,5.22
7928,22252,4.84
7958,22150,4.92
7988,22458,4.70
8018,22150,4.92
8048,21948,5.07
8078,22354,4.77
8108,22252,4.84
8138,22666,4.55
8168,21948,5.07
8198,22252,4.84
8228,22458,4.70
8258,22354,4.77
8288,22049,4.99
8318,22561,4.62
8348,22252,4.84
8378,22150,4.92
8408,22666,4.55
8438,22877,4.40
8469,22561,4.62
8499,23091,4.25
8529,23091,4.25
8559,23199,4.18
8589,23091,4.25
8619,22877,4.40
8649,23091,4.25
8679,23417,4.03
8709,23417,4.03
8739,23199,4.18
8769,22984,4.32
8799,23091,4.25
8829,23417,4.03
8859,23750,3.80
8889,23527,3.95
8919,23527,3.95
8949,23417,4.03
8979,23417,4.03
9009,23527,3.95
9039,23638,3.88
9069,23638,3.88
9099,23527,3.95
9129,23750,3.80
9159,23417,4.03
9189,23638,3.88
9219,23750,3.80
9249,23750,3.80
9279,24090,3.58
9310,24204,3.50
9340,23750,3.80
9370,24090,3.58
9400,23976,3.65
9430,23862,3.73
9460,24090,3.58
9490,23976,3.65
9520,24436,3.35
9550,24204,3.50
9580,24320,3.43
9610,23976,3.65
9640,24204,3.50
9670,24553,3.28
9700,24320,3.43
9730,24436,3.35
9760,24320,3.43
9790,24436,3.35
9820,24090,3.58
9850,24436,3.35
9880,24671,3.20
9910,23862,3.73
9940,24320,3.43
9970,23976,3.65
10000,23862,3.73
10030,24090,3.58
10060,23976,3.65
10090,22877,4.40
10120,24320,3.43
10151,23750,3.80
10181,24090,3.58
10211,23862,3.73
10241,24671,3.20
10271,23862,3.73
10301,24090,3.58
10331,24204,3.50
10361,23862,3.73
10391,23976,3.65
10421,23976,3.65
10451,23750,3.80
10481,23638,3.88
10511,23862,3.73
10541,23417,4.03
10571,23199,4.18
10601,22877,4.40
10631,22561,4.62
10661,22150,4.92
10691,21650,5.29
10721,21261,5.59
10751,21357,5.51
10781,21165,5.66
10811,21165,5.66
10841,20788,5.96
10871,20603,6.10
10901,20603,6.10
10931,19623,6.92
10961,20239,6.40
10992,20239,6.40
11022,20329,6.32
11052,19972,6.62
11082,20149,6.47
11112,19884,6.69
11142,19884,6.69
11172,20149,6.47
11202,19884,6.69
11232,19796,6.77
11262,19796,6.77
11292,19710,6.84
11322,19710,6.84
11352,19537,6.99
11382,19367,7.14
11412,19796,6.77
11442,19623,6.92
11472,19623,6.92
11502,19623,6.92
11532,19623,6.92
11562,19623,6.92
11592,19710,6.84
11622,19623,6.92
11652,20060,6.55
11682,19452,7.06
11712,19537,6.99
11742,19623,6.92
11772,19367,7.14
11803,19623,6.92
11833,19282,7.21
11863,19710,6.84
11893,19623,6.92
11923,19367,7.14
11953,19452,7.06
11983,18704,7.73
12013,19198,7.28
12043,19884,6.69
12073,19367,7.14
12103,19198,7.28
12133,19198,7.28
12163,19367,7.14
12193,19198,7.28
12223,19367,7.14
12253,19115,7.36
12283,19367,7.14
12313,19198,7.28
12343,19198,7.28
12373,19115,7.36
12403,18949,7.51
12433,19115,7.36
12463,19115,7.36
12493,18867,7.58
12523,19032,7.43
12553,18949,7.51
12583,18867,7.58
12614,18949,7.51
12644,18949,7.51
12674,18786,7.65
12704,18949,7.51
12734,18949,7.51
12764,18704,7.73
12794,18704,7.73
12824,18867,7.58
12854,18704,7.73
12884,18786,7.65
12914,18949,7.51
12944,19115,7.36
12974,19282,7.21
13004,18867,7.58
13034,18704,7.73
13064,18704,7.73
13094,18624,7.80
13124,18786,7.65
13154,18464,7.95
13184,18786,7.65
13214,18786,7.65
13244,18704,7.73
13274,18544,7.87
13304,18786,7.65
13334,18624,7.80
13364,18464,7.95
13394,18624,7.80
13425,18704,7.73
13455,18704,7.73
13485,18786,7.65
13515,18544,7.87
13545,18384,8.02
13575,18384,8.02
13605,18306,8.09
13635,18306,8.09
13665,18384,8.02
13695,18464,7.95
13725,18306,8.09
13755,18544,7.87
13785,18384,8.02
13815,18464,7.95
13845,18149,8.24
13875,18306,8.09
13905,18306,8.09
13935,18227,8.17
13965,18227,8.17
13995,18384,8.02
14025,18306,8.09
14055,18384,8.02
14085,18384,8.02
14115,18072,8.32
14145,18227,8.17
14175,18227,8.17
14205,18464,7.95
14236,18384,8.02
14266,18149,8.24
14296,18227,8.17
14326,18227,8.17
14356,18704,7.73
14386,18306,8.09
14416,18227,8.17
14446,17994,8.39
14476,18306,8.09
14506,18072,8.32
14536,18072,8.32
14566,18149,8.24
14596,18149,8.24
14626,17918,8.46
14656,17994,8.39
14686,18149,8.24
14716,18786,7.65
14746,18149,8.24
14776,18072,8.32
14806,17994,8.39
14836,17918,8.46
14866,17994,8.39
14896,17918,8.46
