Tiempo,Resistencia,Temperatura
0,10105,24.92
30,10264,24.56
60,10800,23.39
90,11500,21.97
120,12346,20.36
150,12845,19.48
180,13315,18.67
210,13693,18.05
240,13915,17.70
270,14256,17.16
300,14430,16.89
330,14666,16.54
360,14847,16.27
390,14666,16.54
420,14847,16.27
450,15153,15.82
480,15029,16.00
510,15091,15.91
540,15153,15.82
570,15153,15.82
600,15277,15.64
630,15340,15.55
660,15277,15.64
690,15530,15.28
720,15467,15.37
750,15467,15.37
780,15530,15.28
810,15594,15.19
840,15530,15.28
871,15594,15.19
901,15594,15.19
931,15659,15.10
961,15723,15.02
991,15594,15.19
1021,15788,14.93
1051,15854,14.83
1081,15919,14.75
1111,16052,14.56
1141,16185,14.39
1171,15985,14.66
1201,16321,14.20
1231,16052,14.56
1261,16321,14.20
1291,16052,14.56
1321,16253,14.29
1351,16389,14.11
1381,16253,14.29
1411,16185,14.39
1441,16389,14.11
1471,16595,13.84
1501,16595,13.84
1531,16321,14.20
1561,16665,13.75
1591,16734,13.66
1621,16526,13.93
1651,16526,13.93
1681,16734,13.66
1712,16595,13.84
1742,16595,13.84
1772,16595,13.84
1802,16805,13.57
1832,16875,13.48
1862,16734,13.66
1892,16734,13.66
1922,16875,13.48
1952,17089,13.21
1982,16946,13.39
2012,17018,13.30
2042,17018,13.30
2072,17089,13.21
2102,17234,13.03
2132,17089,13.21
2162,17234,13.03
2192,17307,12.94
2222,17307,12.94
2252,17234,13.03
2282,17380,12.85
2312,17528,12.66
2342,17528,12.66
2372,17454,12.75
2402,17454,12.75
2432,17454,12.75
2462,17307,12.94
2492,17603,12.57
2522,17678,12.48
2553,17454,12.75
2583,17829,12.30
2613,17678,12.48
2643,17829,12.30
2673,17905,12.21
2703,17678,12.48
2733,17753,12.39
2763,18136,11.93
2793,17905,12.21
2823,18136,11.93
2853,18058,12.02
2883,18214,11.84
2913,18214,11.84
2943,18058,12.02
2973,18058,12.02
3003,18058,12.02
3033,17905,12.21
3063,18371,11.66
3093,18136,11.93
3123,18371,11.66
3153,18371,11.66
3183,18292,11.75
3213,18292,11.75
3243,18292,11.75
3273,18292,11.75
3303,18450,11.57
3333,18450,11.57
3364,18529,11.47
3394,18529,11.47
3424,18609,11.38
3454,18292,11.75
3484,18609,11.38
3514,18771,11.20
3544,18771,11.20
3574,18771,11.20
3604,18771,11.20
3634,18771,11.20
3664,18852,11.11
3694,18852,11.11
3724,18771,11.20
3754,18852,11.11
3784,19017,10.92
3814,19017,10.92
3844,18852,11.11
3874,19017,10.92
3904,19017,10.92
3934,19017,10.92
3964,19266,10.64
3994,19266,10.64
4024,19017,10.92
