Tiempo,Resistencia,Temperatura
0,11409,22.15
30,11100,22.77
60,11013,22.95
90,10927,23.13
120,11232,22.50
150,11232,22.50
180,11100,22.77
210,11232,22.50
240,11276,22.41
270,11454,22.06
300,11454,22.06
330,11545,21.88
360,11454,22.06
390,11545,21.88
420,11636,21.70
450,11682,21.61
480,11868,21.25
510,12009,20.99
540,11774,21.43
570,11914,21.17
600,11774,21.43
630,11961,21.08
660,11914,21.17
690,12104,20.81
720,12297,20.45
750,12152,20.72
780,12346,20.36
810,12297,20.45
840,12297,20.45
870,12395,20.27
901,12444,20.19
931,12543,20.01
961,12493,20.10
991,12493,20.10
1021,12643,19.83
1051,12643,19.83
1081,12744,19.65
1111,12744,19.65
1141,12897,19.39
1171,12744,19.65
1201,12897,19.39
1231,12948,19.30
1261,12948,19.30
1291,12897,19.39
1321,12794,19.57
1351,13052,19.12
1381,13052,19.12
1411,13262,18.76
1441,13368,18.59
1471,13209,18.85
1501,13422,18.50
1531,13368,18.59
1561,13368,18.59
1591,13584,18.23
1621,13368,18.59
1651,13315,18.67
1681,13530,18.32
1711,13639,18.14
1742,13584,18.23
1772,13748,17.96
1802,13584,18.23
1832,13748,17.96
1862,13693,18.05
1892,13804,17.87
1922,13859,17.79
1952,13859,17.79
1982,13915,17.70
2012,13915,17.70
2042,13915,17.70
2072,13915,17.70
2102,14085,17.43
2132,14141,17.34
2162,14141,17.34
2192,14256,17.16
2222,14256,17.16
2252,14726,16.45
2282,14314,17.07
2312,14372,16.98
2342,14372,16.98
2372,14489,16.81
2402,14430,16.89
2432,14548,16.72
2462,14548,16.72
2492,14607,16.63
2522,14607,16.63
2552,14666,16.54
2583,14786,16.36
2613,14726,16.45
2643,14607,16.63
2673,14786,16.36
2703,14666,16.54
2733,14786,16.36
2763,15215,15.73
2793,15091,15.91
2823,14847,16.27
2853,14666,16.54
2883,15029,16.00
2913,15215,15.73
2943,15153,15.82
2973,15403,15.46
3003,15467,15.37
3033,15153,15.82
3063,15153,15.82
3093,15277,15.64
3123,14548,16.72
3153,15277,15.64
3183,15403,15.46
3213,15659,15.10
3243,16118,14.48
3273,15340,15.55
3303,15594,15.19
3333,15340,15.55
3363,15153,15.82
3394,15788,14.93
3424,15723,15.02
3454,15659,15.10
3484,15985,14.66
3514,16185,14.39
3544,28003,2.88
3574,15854,14.83
3604,15919,14.75
3634,15985,14.66
3664,15985,14.66
3694,15919,14.75
3724,16118,14.48
3754,16052,14.56
3784,16052,14.56
3814,16185,14.39
3844,16118,14.48
3874,16253,14.29
3904,16321,14.20
