Tiempo,Resistencia,Temperatura
5,29786,1.63
4175,29325,1.94
4205,28874,2.26
4235,29786,1.63
4265,2650
29,11961,21.08
59,12056,20.90
89,12794,19.57
119,13693,18.05
149,14907,16.18
179,16118,14.48
209,17307,12.94
239,18136,11.93
269,19017,10.92
299,20132,9.71
329,20862,8.96
359,21826,8.01
389,22434,7.44
419,22958,6.96
449,23500,6.47
479,23834,6.18
509,24523,5.59
539,24758,5.40
569,24523,5.59
599,25609,4.70
629,25987,4.40
659,26373,4.10
689,26503,4.00
719,26767,3.80
749,27443,3.29
779,27582,3.19
809,27582,3.19
839,22958,6.96
869,19017,10.92
900,17753,12.39
930,15340,15.55
960,15153,15.82
990,14430,16.89
1020,13971,17.61
1050,13639,18.14
1080,13368,18.59
1110,13209,18.85
1140,13052,19.12
1170,12744,19.65
1200,13104,19.03
1230,12897,19.39
1260,12845,19.48
1290,13748,17.96
1320,12948,19.30
1350,12845,19.48
1380,12794,19.57
1410,13000,19.21
1440,12794,19.57
1470,12794,19.57
1500,13052,19.12
1530,13000,19.21
1560,13156,18.94
1590,13209,18.85
1620,13315,18.67
1650,13315,18.67
1680,13262,18.76
1710,13262,18.76
1741,13262,18.76
1771,13368,18.59
1801,13530,18.32
1831,13475,18.41
1861,13693,18.05
1891,13584,18.23
1921,13584,18.23
1951,13639,18.14
1981,13639,18.14
2011,13693,18.05
2041,13693,18.05
2071,13748,17.96
2101,13859,17.79
2131,14085,17.43
2161,13859,17.79
2191,13971,17.61
2221,13915,17.70
2251,14085,17.43
2281,14085,17.43
2311,14141,17.34
2341,14199,17.25
2371,14256,17.16
2401,14430,16.89
2431,14256,17.16
2461,14314,17.07
2491,14372,16.98
2521,14256,17.16
2551,14489,16.81
2582,14430,16.89
2612,14607,16.63
2642,14666,16.54
2672,14786,16.36
2702,14847,16.27
2732,14726,16.45
2762,14847,16.27
2792,14847,16.27
2822,14968,16.09
2852,14907,16.18
2882,15277,15.64
2912,15091,15.91
2942,15029,16.00
2972,14907,16.18
3002,15091,15.91
3032,15277,15.64
3062,15215,15.73
3092,15215,15.73
3122,14968,16.09
3152,15340,15.55
3182,15467,15.37
3212,15594,15.19
3242,15403,15.46
3272,15659,15.10
3302,15854,14.83
3332,15659,15.10
3362,15788,14.93
3392,15659,15.10
3423,15854,14.83
3453,15723,15.02
3483,15659,15.10
3513,16052,14.56
3543,15985,14.66
3573,15788,14.93
3603,16052,14.56
3633,16052,14.56
3663,15919,14.75
3693,16052,14.56
3723,16052,14.56
3753,17018,13.30
3783,15723,15.02
3813,16185,14.39
3843,16118,14.48
3873,16321,14.20
3903,16321,14.20
3933,16457,14.02
3963,16321,14.20
3993,16595,13.84
4023,16526,13.93
4053,16734,13.66
4083,16526,13.93
4113,16595,13.84
4143,16665,13.75
4173,16526,13.93
4203,16526,13.93
4234,16875,13.48
4264,16805,13.57
4294,18058,12.02
4324,16875,13.48
4354,16734,13.66
4384,16805,13.57
4414,16946,13.39
4444,16875,13.48
4474,17234,13.03
4504,16946,13.39
4534,16875,13.48
4564,17018,13.30
4594,17089,13.21
4624,17307,12.94
4654,17307,12.94
4684,17234,13.03
4714,16526,13.93
4744,15854,14.83
4774,17380,12.85
4804,16946,13.39
4834,17307,12.94
4864,17603,12.57
4894,17678,12.48
4924,17454,12.75
4954,17603,12.57
4984,17753,12.39
5014,17829,12.30
5044,17089,13.21
5075,17829,12.30
5105,17234,13.03
5135,17678,12.48
5165,17829,12.30
5195,18058,12.02
5225,17829,12.30
