Tiempo,Resistencia,Temperatura
24,12346,20.36
54,12152,20.72
84,12395,20.27
114,13209,18.85
144,14199,17.25
174,15723,15.02
204,17162,13.12
234,18450,11.57
264,20043,9.81
294,20492,9.34
324,21530,8.30
354,22642,7.25
384,23611,6.38
414,24061,5.99
444,24290,5.79
474,25362,4.90
504,25734,4.60
534,25987,4.40
564,26767,3.80
594,25485,4.80
624,25609,4.70
654,24997,5.20
684,25734,4.60
714,25609,4.70
744,25734,4.60
774,26373,4.10
804,25860,4.50
834,26243,4.20
864,26115,4.30
894,26373,4.10
925,26373,4.10
955,26115,4.30
985,26503,4.00
1015,26900,3.70
1045,26900,3.70
1075,27170,3.49
1105,26635,3.90
1135,26900,3.70
1165,27035,3.59
1195,27170,3.49
1225,26900,3.70
1255,27306,3.39
1285,27306,3.39
1315,26373,4.10
1345,27170,3.49
1375,27170,3.49
1405,27306,3.39
1435,27306,3.39
1465,27306,3.39
1495,27443,3.29
1525,27306,3.39
1555,27306,3.39
1585,27443,3.29
1615,27582,3.19
1645,27306,3.39
1675,27170,3.49
1705,27035,3.59
1735,27861,2.98
1765,27721,3.08
1796,27582,3.19
1826,28145,2.78
1856,27861,2.98
1886,27721,3.08
1916,27721,3.08
1946,27721,3.08
1976,27721,3.08
2006,27306,3.39
2036,28003,2.88
2066,28145,2.78
2096,27861,2.98
2126,27582,3.19
2156,27582,3.19
2186,27035,3.59
2216,27582,3.19
2246,27582,3.19
2276,27721,3.08
2306,27443,3.29
2336,27306,3.39
2366,27582,3.19
2396,27582,3.19
2426,28145,2.78
2456,27861,2.98
2486,27443,3.29
2516,27721,3.08
2546,27721,3.08
2576,27861,2.98
2606,27861,2.98
2636,27861,2.98
2667,27721,3.08
2697,28289,2.67
2727,27861,2.98
2757,27582,3.19
2787,28003,2.88
2817,27861,2.98
2847,28003,2.88
2877,27721,3.08
2907,28145,2.78
2937,28726,2.36
2967,27582,3.19
2997,28003,2.88
3027,27721,3.08
3057,28145,2.78
3087,27721,3.08
3117,28145,2.78
3147,27721,3.08
3177,27861,2.98
3207,27861,2.98
3237,27861,2.98
3267,27861,2.98
3297,27721,3.08
3327,27721,3.08
3357,27861,2.98
3387,27443,3.29
3417,27721,3.08
3447,28003,2.88
3477,28433,2.57
3507,27861,2.98
3538,28145,2.78
3568,27721,3.08
3598,28145,2.78
3628,28289,2.67
3658,28003,2.88
3688,28003,2.88
3718,28003,2.88
3748,29023,2.15
3778,28003,2.88
3808,28003,2.88
3838,27306,3.39
3868,28003,2.88
3898,28433,2.57
3928,27861,2.98
3958,28145,2.78
3988,27861,2.98
4018,27861,2.98
