Tiempo,Resistencia,Temperatura
29,20132,9.71
59,19867,9.99
89,19351,10.55
119,18934,11.01
149,18371,11.66
179,17981,12.12
209,17603,12.57
239,17234,13.03
269,17018,13.30
299,16526,13.93
329,16185,14.39
359,15919,14.75
389,15723,15.02
419,15403,15.46
449,15153,15.82
479,14968,16.09
509,14847,16.27
539,14489,16.81
569,14314,17.07
599,14199,17.25
629,14141,17.34
659,13748,17.96
689,13748,17.96
719,13639,18.14
749,13475,18.41
779,13475,18.41
809,13315,18.67
839,13368,18.59
869,13315,18.67
900,13209,18.85
930,12948,19.30
960,12794,19.57
990,12794,19.57
1020,12845,19.48
1050,12845,19.48
1080,12643,19.83
1110,12643,19.83
1140,12643,19.83
1170,12543,20.01
1200,12543,20.01
1230,12444,20.19
1260,12395,20.27
1290,12009,20.99
1320,12248,20.54
1350,12346,20.36
1380,12346,20.36
1410,12297,20.45
1440,12152,20.72
1470,12297,20.45
1500,12248,20.54
1530,12152,20.72
1560,12248,20.54
1590,12200,20.63
1620,12104,20.81
1650,12200,20.63
1680,12152,20.72
1710,12104,20.81
1741,12152,20.72
1771,12104,20.81
1801,12056,20.90
1831,12056,20.90
1861,12104,20.81
1891,12104,20.81
1921,12248,20.54
1951,12056,20.90
1981,12152,20.72
2011,12009,20.99
2041,12056,20.90
2071,12009,20.99
2101,12152,20.72
2131,11961,21.08
2161,12009,20.99
2191,11961,21.08
2221,12009,20.99
2251,11914,21.17
2281,11914,21.17
2311,11914,21.17
2341,11868,21.25
2371,11914,21.17
2401,11868,21.25
2431,11914,21.17
2461,11868,21.25
2491,11868,21.25
2521,11868,21.25
2551,11774,21.43
2582,11774,21.43
2612,11728,21.52
2642,11682,21.61
2672,11682,21.61
2702,11682,21.61
2732,11636,21.70
2762,11545,21.88
2792,11590,21.79
2822,11590,21.79
2852,11454,22.06
2882,11454,22.06
2912,11500,21.97
2942,11454,22.06
2972,11409,22.15
3002,11276,22.41
3032,11454,22.06
3062,10842,23.31
3092,11365,22.23
3122,11409,22.15
3152,11365,22.23
3182,11409,22.15
3212,11409,22.15
3242,11365,22.23
3272,11320,22.32
3302,11320,22.32
3332,11232,22.50
3362,11320,22.32
3393,11320,22.32
3423,11409,22.15
3453,11276,22.41
3483,11320,22.32
3513,11276,22.41
3543,11320,22.32
3573,11365,22.23
3603,11320,22.32
3633,11320,22.32
3663,11320,22.32
3693,11365,22.23
3723,11500,21.97
3753,11365,22.23
3783,11013,22.95
3813,11365,22.23
3843,11320,22.32
3873,11365,22.23
3903,11276,22.41
3933,11409,22.15
3963,11232,22.50
3993,11636,21.70
4023,11454,22.06
4053,11365,22.23
4083,11365,22.23
4113,11320,22.32
4143,11320,22.32
4173,11276,22.41
4203,11320,22.32
4234,11320,22.32
4264,11276,22.41
4294,11320,22.32
4324,11276,22.41
4354,11276,22.41
4384,11232,22.50
