Tiempo,Temperatura
0,19
60,17.8
120,17.6
180,17.1
240,16.5
300,16.4
360,16.2
420,16.1
480,16.1
540,16
600,16
660,15.9
720,15.8
780,15.8
840,15.7
900,15.7
960,15.7
1020,15.7
1080,15.7
1140,15.6
1200,15.5
1260,15.5
1320,15.4
1380,15.4
1440,15.4
1500,15.3
1560,15.2
1620,15.2
1680,15.1
1740,15
1800,14.9
1860,14.9
1920,14.8
1980,14.8
2040,14.7
2100,14.7
2160,14.7
2220,14.7
2280,14.7
2340,14.6
2400,14.6
2460,14.6
2520,14.6
2700,14.4
2760,14.3
2820,14.2
2880,14.2
2940,14.2
3000,14.1
3060,14.1
3120,14.1
3180,14.1
3240,14
3300,14
3360,14
3420,13.9
3480,13.8
3540,13.8
3600,13.7
3660,13.6
4260,12.6
4860,11.8
5460,11.2
6060,10.4
6660,9.8
7260,9.4
7860,8.8
8460,8.1
